Instance File:
  instances/cmb01

Time:
  5198.370677471161

Parameters:
  Cooling Factor r: 0.6
  Instances I: 200
  Initial probability: 0.85
  Final probability: 0.1
  Seed: 10

Initial Solution Value:
  2983288.42

Initial number of color conflicts:
  283

Final Solution Value:
  171721.15000000002

Final number of color conflicts:
  7

Solution:
  Vertex 421 color = 4
  Vertex 422 color = 5
  Vertex 423 color = 8
  Vertex 424 color = 10
  Vertex 425 color = 9
  Vertex 426 color = 9
  Vertex 427 color = 9
  Vertex 428 color = 7
  Vertex 429 color = 4
  Vertex 430 color = 0
  Vertex 431 color = 7
  Vertex 432 color = 3
  Vertex 433 color = 1
  Vertex 434 color = 3
  Vertex 435 color = 2
  Vertex 436 color = 4
  Vertex 437 color = 6
  Vertex 438 color = 9
  Vertex 439 color = 3
  Vertex 440 color = 4
  Vertex 441 color = 4
  Vertex 442 color = 7
  Vertex 443 color = 7
  Vertex 444 color = 10
  Vertex 445 color = 10
  Vertex 446 color = 7
  Vertex 447 color = 9
  Vertex 448 color = 11
  Vertex 449 color = 3
  Vertex 450 color = 1
  Vertex 451 color = 7
  Vertex 452 color = 11
  Vertex 453 color = 2
  Vertex 454 color = 3
  Vertex 455 color = 2
  Vertex 456 color = 8
  Vertex 457 color = 10
  Vertex 458 color = 10
  Vertex 459 color = 8
  Vertex 460 color = 11
  Vertex 461 color = 5
  Vertex 462 color = 3
  Vertex 463 color = 8
  Vertex 464 color = 6
  Vertex 465 color = 1
  Vertex 466 color = 2
  Vertex 467 color = 7
  Vertex 468 color = 1
  Vertex 469 color = 6
  Vertex 470 color = 6
  Vertex 471 color = 6
  Vertex 472 color = 0
  Vertex 473 color = 1
  Vertex 474 color = 7
  Vertex 475 color = 11
  Vertex 476 color = 3
  Vertex 477 color = 5
  Vertex 478 color = 0
  Vertex 479 color = 6
  Vertex 480 color = 1
  Vertex 481 color = 5
  Vertex 482 color = 9
  Vertex 483 color = 6
  Vertex 484 color = 1
  Vertex 485 color = 11
  Vertex 486 color = 4
  Vertex 487 color = 6
  Vertex 488 color = 1
  Vertex 489 color = 11
  Vertex 490 color = 1
  Vertex 491 color = 11
  Vertex 492 color = 6
  Vertex 493 color = 6
  Vertex 494 color = 6
  Vertex 495 color = 2
  Vertex 496 color = 9
  Vertex 497 color = 2
  Vertex 498 color = 3
  Vertex 499 color = 5
