Instance File:
  instances/cmb01

Time:
  8085.55263710022

Parameters:
  Cooling Factor r: 0.85
  Instances I: 200
  Initial probability: 0.85
  Final probability: 0.1
  Seed: 2108

Initial Solution Value:
  2799284.13

Initial number of color conflicts:
  268

Final Solution Value:
  141856.49

Final number of color conflicts:
  4

Solution:
  Vertex 486 color = 8
  Vertex 487 color = 7
  Vertex 488 color = 6
  Vertex 489 color = 0
  Vertex 490 color = 9
  Vertex 491 color = 6
  Vertex 492 color = 6
  Vertex 493 color = 7
  Vertex 494 color = 0
  Vertex 495 color = 3
  Vertex 496 color = 6
  Vertex 497 color = 6
  Vertex 498 color = 7
  Vertex 499 color = 4
